Id;addr:full;addr:street;addr:housenumber;addr:block;addr:floor;addr:housename;addr:postcode;addr:city;addr:place;latitud_v1;longitud_v1;latitud;longitud;estat
499;Carrer Covadonga 2-4, baixos;Carrer Covadonga;2-4;;;;08918 ;Badalona;;;;41,435052863;2,221084441;OK
501;Carrer Francisco Moragas, 23;Carrer Francisco Moragas;23;;;;08921 ;Santa Coloma de Gramenet;;;;41,448992535;2,208642408;OK
502;Carrer Lluís Companys, 9;Carrer Lluís Companys;9;;;;08921 ;Santa Coloma de Gramenet;;;;0,0;0,0;KO
503;Carrer Marina, 5-7, àtic 2a, esc. A;Carrer Marina;5-7;A;àtic;;08921 ;Santa Coloma de Gramenet;;;;41,452185701;2,21133736;OK
504;Carrer Nàpols, 41;Carrer Nàpols;41;;;;08921 ;Santa Coloma de Gramenet;;;;0,0;0,0;KO
505;Carrer President Companys, 9, baixos (Centre Cívic Riu);Carrer President Companys;9;;;Centre Cívic Riu;08921 ;Santa Coloma de Gramenet;;;;41,451523684;2,205686112;OK
506;Carrer Safareig, 1-3;Carrer Safareig;1-3;;;;08921 ;Santa Coloma de Gramenet;;;;41,453875853;2,205878981;OK
507;Carrer Sant Jeroni, 1-3;Carrer Sant Jeroni;1-3;;;;08921 ;Santa Coloma de Gramenet;;;;41,453868984;2,206673943;OK
508;Ptge. de la Pedrera, 8-1, baixos;Passatge de la Pedrera;8-1;;;;08921 ;Santa Coloma de Gramenet;;;;41,455319038;2,21446652;OK
509;Carrer Milà i Fontanals, 14-16;Carrer Milà i Fontanals;14-16;;;;08922 ;Santa Coloma de Gramenet;;;;41,45121078;2,21845531;OK
510;Avinguda Generalitat, 222;Avinguda Generalitat;222;;;;08923 ;Santa Coloma de Gramenet;;;;41,435532185;2,212264888;OK
511;Carrer de Sant Carles, 14;Carrer de Sant Carles;14;;;;08923 ;Santa Coloma de Gramenet;;41,4527286;2,2070363;41,452728956;2,207070773;OK
512;Carrer Laredo, 10, 1r  2a;Carrer Laredo;10;;1;;08924 ;Santa Coloma de Gramenet;;;;41,461778469;2,209566787;OK
513;Carrer Milton, 28, baixos;Carrer Milton;28;;;;08924 ;Santa Coloma de Gramenet;;;;41,46233595;2,202761217;OK
514;Carrer Pep Ventura, 1 (Casal de Les Oliveres);Carrer Pep Ventura;1;;;Casal de Les Oliveres;08924 ;Santa Coloma de Gramenet;;;;41,459734565;2,19650248;OK
515;Carrer Església, 8;Carrer Església;8;;;;08930 ;Sant Adrià de Besòs;;;;0,0;0,0;KO
516;Carrer Mar, 12-14;Carrer Mar;12-14;;;;08930 ;Sant Adrià de Besòs;;;;0,0;0,0;KO
517;Carrer Olímpic, 5;Carrer Olímpic;5;;;;08930 ;Sant Adrià de Besòs;;41,42737495;2,220491327;41,42737495;2,220491327;KO
